hotel_id,forecast_date,lead_time,booking_pickup_7d,rolling_demand_14d,cancellation_rate_28d,available_inventory,event_intensity,lag_occupancy_7d,lag_occupancy_28d,occupancy_rate
HOTEL-001,2023-01-01,18,27.675,0.6578,0.132,28,0.179,0.5779,0.5997,0.6844
HOTEL-007,2023-01-01,53,27.871,0.521,0.1678,24,0.3107,0.7784,0.7842,0.6924
HOTEL-004,2023-01-01,80,26.822,0.6467,0.1822,12,0.0832,0.7265,0.64,0.6568
HOTEL-005,2023-01-02,81,22.191,0.6063,0.2335,24,0.2756,0.5862,0.6473,0.5618
HOTEL-008,2023-01-02,68,27.93,0.5639,0.2663,31,0.2062,0.651,0.6054,0.5497
HOTEL-002,2023-01-02,8,32.624,0.6621,0.1239,16,0.165,0.6436,0.5366,0.6955
HOTEL-009,2023-01-03,33,34.566,0.6331,0.192,10,0.4381,0.5682,0.532,0.6375
HOTEL-003,2023-01-03,44,29.658,0.7549,0.1366,11,0.1882,0.6492,0.622,0.7162
HOTEL-006,2023-01-03,83,30.64,0.6398,0.2248,16,0.1499,0.7534,0.6016,0.6567
HOTEL-010,2023-01-04,63,26.517,0.5701,0.1421,20,0.1189,0.5722,0.6028,0.5537
HOTEL-007,2023-01-04,31,26.771,0.4801,0.1272,18,0.2871,0.5468,0.5849,0.5815
HOTEL-004,2023-01-04,3,39.539,0.6731,0.0988,19,0.4682,0.6703,0.6428,0.7483
HOTEL-005,2023-01-05,71,23.076,0.5942,0.1532,21,0.2628,0.6708,0.5129,0.6266
HOTEL-011,2023-01-05,64,32.518,0.5147,0.1896,32,0.0155,0.5663,0.6514,0.5828
HOTEL-008,2023-01-05,29,23.798,0.6167,0.1385,21,0.1764,0.6262,0.5583,0.6159
HOTEL-006,2023-01-06,70,25.485,0.6596,0.1968,18,0.1741,0.6354,0.6375,0.6409
HOTEL-012,2023-01-06,27,31.661,0.5751,0.1217,23,0.1593,0.6439,0.6039,0.5916
HOTEL-009,2023-01-06,67,36.85,0.6258,0.1573,20,0.22,0.6023,0.6922,0.7109
HOTEL-007,2023-01-07,77,31.813,0.6697,0.1794,18,0.2515,0.7058,0.6458,0.726
HOTEL-001,2023-01-07,0,44.336,0.8305,0.0759,15,0.0266,0.6827,0.5645,0.8092
HOTEL-010,2023-01-07,76,24.87,0.7093,0.1894,15,0.1258,0.6298,0.7605,0.7204
HOTEL-011,2023-01-08,29,21.147,0.6825,0.1857,28,0.0411,0.6665,0.6314,0.6426
HOTEL-008,2023-01-08,25,34.819,0.6891,0.1543,26,0.1177,0.7354,0.5783,0.7199
HOTEL-002,2023-01-08,49,31.238,0.7262,0.2036,38,0.3645,0.5209,0.5918,0.6943
HOTEL-003,2023-01-09,13,15.876,0.5313,0.1589,36,0.0027,0.5922,0.5367,0.5185
HOTEL-009,2023-01-09,30,38.039,0.5618,0.1278,21,0.2666,0.5487,0.6325,0.6523
