text,label
Water is leaking from the bathroom ceiling,maintenance__high
The air conditioner is broken and the room is extremely hot,maintenance__high
There is no power in my room,maintenance__high
बाथरूम में पानी लीक हो रहा है,maintenance__high
Water is leaking from the bathroom ceiling Case reference 4.,maintenance__high
The air conditioner is broken and the room is extremely hot Case reference 5.,maintenance__high
There is no power in my room Case reference 6.,maintenance__high
बाथरूम में पानी लीक हो रहा है Case reference 7.,maintenance__high
Water is leaking from the bathroom ceiling Case reference 8.,maintenance__high
The air conditioner is broken and the room is extremely hot Case reference 9.,maintenance__high
There is no power in my room Case reference 10.,maintenance__high
बाथरूम में पानी लीक हो रहा है Case reference 11.,maintenance__high
Water is leaking from the bathroom ceiling Case reference 12.,maintenance__high
The air conditioner is broken and the room is extremely hot Case reference 13.,maintenance__high
There is no power in my room Case reference 14.,maintenance__high
बाथरूम में पानी लीक हो रहा है Case reference 15.,maintenance__high
Water is leaking from the bathroom ceiling Case reference 16.,maintenance__high
The air conditioner is broken and the room is extremely hot Case reference 17.,maintenance__high
There is no power in my room Case reference 18.,maintenance__high
बाथरूम में पानी लीक हो रहा है Case reference 19.,maintenance__high
The room is dirty and needs cleaning,housekeeping__low
Please send fresh towels,housekeeping__low
The bedsheet has stains,housekeeping__low
कमरे की सफाई नहीं हुई है,housekeeping__low
The room is dirty and needs cleaning Case reference 4.,housekeeping__low
Please send fresh towels Case reference 5.,housekeeping__low
The bedsheet has stains Case reference 6.,housekeeping__low
कमरे की सफाई नहीं हुई है Case reference 7.,housekeeping__low
The room is dirty and needs cleaning Case reference 8.,housekeeping__low
Please send fresh towels Case reference 9.,housekeeping__low
The bedsheet has stains Case reference 10.,housekeeping__low
कमरे की सफाई नहीं हुई है Case reference 11.,housekeeping__low
The room is dirty and needs cleaning Case reference 12.,housekeeping__low
Please send fresh towels Case reference 13.,housekeeping__low
The bedsheet has stains Case reference 14.,housekeeping__low
कमरे की सफाई नहीं हुई है Case reference 15.,housekeeping__low
The room is dirty and needs cleaning Case reference 16.,housekeeping__low
Please send fresh towels Case reference 17.,housekeeping__low
The bedsheet has stains Case reference 18.,housekeeping__low
कमरे की सफाई नहीं हुई है Case reference 19.,housekeeping__low
There is loud music from the next room,noise__medium
Guests are shouting in the corridor,noise__medium
I cannot sleep because of noise,noise__medium
बाहर बहुत शोर है,noise__medium
There is loud music from the next room Case reference 4.,noise__medium
Guests are shouting in the corridor Case reference 5.,noise__medium
I cannot sleep because of noise Case reference 6.,noise__medium
बाहर बहुत शोर है Case reference 7.,noise__medium
There is loud music from the next room Case reference 8.,noise__medium
Guests are shouting in the corridor Case reference 9.,noise__medium
I cannot sleep because of noise Case reference 10.,noise__medium
बाहर बहुत शोर है Case reference 11.,noise__medium
There is loud music from the next room Case reference 12.,noise__medium
